r,v
22.6,231.44215
22.65,231.62517000000003
22.7,231.80678999999998
22.75,231.98611
22.8,232.16234
22.85,232.3353
22.9,232.50571000000002
22.95,232.67506
23.0,232.84526
23.05,233.0179
23.1,233.1938
23.15,233.37285
23.2,233.55434
23.25,233.73732
23.3,233.92107000000001
23.35,234.1051
23.4,234.28925
23.45,234.47339
23.5,234.65749
23.55,234.84142999999997
23.6,235.02492
23.65,235.2074
23.7,235.38805
23.75,235.56601
23.8,235.74077999999997
23.85,235.91257000000002
23.9,236.08241
23.95,236.25195
24.0,236.4225
24.05,236.59396
24.1,236.7636
24.15,236.92545
24.2,237.07093999999998
24.25,237.19167000000002
24.3,237.28296
24.35,237.34672999999998
24.4,237.39158999999998
24.45,237.4299
24.5,237.47345
24.55,237.52974
24.6,237.60063
24.65,237.68329
24.7,237.77275
24.75,237.86444
24.8,237.95595
24.85,238.04778
24.9,238.14293999999998
24.95,238.24572999999998
25.0,238.35962
25.05,238.48492000000002
25.1,238.61719
25.15,238.74733999999998
25.2,238.86442999999997
25.25,238.95966
25.3,239.03072000000003
25.35,239.08382000000003
25.4,239.13225
25.45,239.1918
25.5,239.27525
25.55,239.3884
25.6,239.5293
25.65,239.69104
25.7,239.86542000000003
25.75,240.0459
25.8,240.22839
25.85,240.41061000000002
25.9,240.59105
25.95,240.76833
26.0,240.94067
26.05,241.10539
26.1,241.25824
26.15,241.39331
26.2,241.50446000000002
26.25,241.58775
26.3,241.64401
26.35,241.679
26.4,241.70189
26.45,241.72231000000002
26.5,241.74788999999998
26.55,241.78328
26.6,241.83033999999998
26.65,241.88948
26.7,241.96071
26.75,242.04372
26.8,242.13682999999997
26.85,242.23578999999998
26.9,242.33356
26.95,242.42174
27.0,242.49388
27.05,242.54865
27.1,242.59161
27.15,242.63437000000002
27.2,242.69061000000002
27.25,242.77086
27.3,242.87777999999997
27.35,243.00452
27.4,243.13692000000003
27.45,243.25877000000003
27.5,243.35815
27.55,243.43187999999998
27.6,243.4866
27.65,243.5358
27.7,243.59432999999999
27.75,243.67256
27.8,243.77242
27.85,243.88682999999997
27.9,244.00272
27.95,244.10606
28.0,244.18684
28.05,244.24184
28.1,244.27407999999997
28.15,244.29019
28.2,244.29691
28.25,244.29922000000002
28.3,244.29984
28.35,244.29996
28.4,244.2998
28.45,244.299
28.5,244.29612999999998
28.55,244.28796
28.6,244.26904
28.65,244.23222
28.7,244.17127999999997
28.75,244.0843
28.8,243.97623
28.85,243.85855
28.9,243.74586000000002
28.95,243.65051
29.0,243.57777000000002
29.05,243.52353
29.1,243.47563
29.15,243.41859
29.2,243.33975
29.25,243.23452999999998
29.3,243.10847
29.35,242.97534
29.4,242.85178
29.45,242.75134
29.5,242.68027999999998
29.55,242.63692999999998
29.6,242.61433
29.65,242.60405
29.7,242.59852999999998
29.75,242.59134
29.8,242.57574
29.85,242.54381
29.9,242.48769
29.95,242.40276
30.0,242.29105
30.05,242.16237
30.1,242.03204
30.15,241.91553
30.2,241.8228
30.25,241.75456
30.3,241.70226
30.35,241.65162999999998
30.4,241.58853
30.45,241.50452
30.5,241.39995
30.55,241.28371
30.6,241.16946000000002
30.65,241.07011
30.7,240.99249
30.75,240.93443
30.8,240.88537999999997
30.85,240.83017999999998
30.9,240.75484
30.95,240.65115
31.0,240.51869
31.05,240.36307000000002
31.1,240.19258
31.15,240.01518
